title,hash_title,allowed_hashes
Viagra-Type Drugs and Melanoma Skin Cancer,5371e80a9e4d,['5371e80a9e4d']
The Benefits of Sesame Seeds for Knee Osteoarthritis,05ff68be92d0,['05ff68be92d0']
What Happens If You Add Milk to Tea?,50f34c6667e6,['50f34c6667e6']
Recipe for Ribollita,fa55da5ef6b9,['fa55da5ef6b9']
Improving Employee Diets Could Save Companies Millions,1c2a08ab98d8,['1c2a08ab98d8']
How Might Ginger Help with Obesity and Fatty Liver Disease?,76886f02ffd0,['76886f02ffd0']
How Much Vinegar Every Day?,2b20e67bacd0,['2b20e67bacd0']
Changing Protein Requirements,8a7404f49870,['8a7404f49870']
Plant vs. Animal Food Purines for Preventing Gout,a10cff970568,['a10cff970568']
Countering Dietary Pollutants and Pesticides,f785ffebdca1,['f785ffebdca1']
Boosting Anticancer Immunity with Berries,e35b08284e4f,['e35b08284e4f']
Benefits of Oatmeal for Fatty Liver Disease,87f080908ad3,['87f080908ad3']
Pill-Free Ways to Improve Your Sex Life,7979ce87d085,['7979ce87d085']
Apple Peels Put to the Test for Chronic Joint Pain,020cfe497dbc,['020cfe497dbc']
Dairy Industry Responds to Bovine Leukemia Virus in Breast Cancer,e75a712b88ed,"['e75a712b88ed', 'b63d24d4a3ac']"
Fast Food Restaurants in Children’s Hospitals,eb04d7289c3b,['eb04d7289c3b']
How Bad Is Bacon?,dcfce70417ea,['dcfce70417ea']
Diabetes Associations Recognize Plant-Based Diets,41b7628885d8,"['41b7628885d8', '698445da2b5a', 'a4a5f502f5f5']"
What’s the Secret to Latino Longevity?,04f54444e165,['04f54444e165']
What the Science Says About Time-Restricted Eating,87390b72739e,"['d301a2260d32', '87390b72739e']"
Foods That Fight Osteoarthritis and Inflammation,668679805906,['668679805906']
Don’t Let Their Divide and Conquer Strategy Work,4ab8885feb3e,['4ab8885feb3e']
What to Eat to Boost Immunity,fe24f2939bda,['fe24f2939bda']
Strawberries Can Reverse Precancerous Progression,43e5be47457d,['43e5be47457d']
Breast Cancer Can Grow and Spread for Decades Before “Early” Detection,74b9e2b91dc8,['74b9e2b91dc8']
Is the Risk of Skin Cancer from Sun Exposure Overblown?,cc94c359d2e6,['cc94c359d2e6']
Garlic Powder to Lower Lead Levels,31b0d8701487,['31b0d8701487']
Does a Macrobiotic Diet Help with Diabetes?,b0090c8a86a8,['b0090c8a86a8']
The Best Source of Vitamin D,f1e80b231088,['f1e80b231088']
Increasing Muscle Strength with Fenugreek,acff4aa135b3,['acff4aa135b3']
Should You Get an Annual Physical Exam?,6105df703911,['6105df703911']
Breast Cancer and Alcohol: How Much Is Safe?,e168efbed64b,['e168efbed64b']
Is Cannabis a Cancer Cure?,f5ce31221d64,['f5ce31221d64']
One Way to Treat Asthma and Autoimmune Diseases with Diet,412622fb1e1e,['412622fb1e1e']
Why Certain Plant Compounds May Mimic Dietary Restriction,168c663ee5ca,['168c663ee5ca']
Reduce Saturated Fat Intake to Protect Your Pancreas,83b4e830d912,['83b4e830d912']
How to Reduce Your Dietary Cadmium Absorption,658a3f85b62b,['658a3f85b62b']
"Inflammation, Diet, and “Vitamin S”",5c5e3eed25d1,['5c5e3eed25d1']
My New DVD Starts Streaming Today,090515d0b95a,['090515d0b95a']
Fight Aging with Brain-Healthy Foods,e8bdf8747c73,['e8bdf8747c73']
A Supplement Shown to Improve Asthma,6b028598fce2,['6b028598fce2']
The Diet We Were Designed to Eat,6fd323704e7c,['6fd323704e7c']
How Well Do Cholesterol-Lowering Drugs Actually Work?,539a54bd4edb,['539a54bd4edb']
Fighting Autism Brain Inflammation with Food,463bb8b7bc31,['463bb8b7bc31']
Dr. Greger Takes on Mediterranean Diet in New DVD,3b642937383d,['3b642937383d']
Tomato Sauce Put to the Test for Prostate Cancer,72bbd0d2132d,['72bbd0d2132d']
Currant Treatment for Glaucoma,310f4bb47e3a,['310f4bb47e3a']
Side-Effects of Aspartame on the Brain,036c548f0279,['036c548f0279']
Organic vs. Conventional: Which Has More Nutrients?,fa74b34cd916,['fa74b34cd916']
Support NutritionFacts.org — Fill the Carrot,cb001e8bb4bd,['cb001e8bb4bd']
Vegan Men: More Testosterone But Less Cancer,212bb1c47ba8,['212bb1c47ba8']
Doctors Tested for Basic Understanding of Mammogram Math,fd8e2b866a88,['fd8e2b866a88']
Pre-Cut Vegetables and Endotoxins,d4e643f75550,['d4e643f75550']
How to Cut Breast Cancer Risk in Half,2ae2123d9627,['2ae2123d9627']
Best Diet for Diabetic Neuropathy,92a33f699034,['92a33f699034']
Pills vs. Diet for Erectile Dysfunction,6ed0b059da57,['6ed0b059da57']
Benefits of Turmeric Curcumin for Uveitis and Eye Cancer,afd991b29c3d,['afd991b29c3d']
The Healthiest Diet for Weight Control,5b34e3c8df83,['5b34e3c8df83']
Brain-Boosting Grapes,1f5bbd07595d,['1f5bbd07595d']
"New DVD, New Annual Talk, New Live Q&As & HOW NOT TO DIE now out in Spanish",fe2ae7aefa53,['fe2ae7aefa53']
Adult Exposure to Lead,373558d9e714,['373558d9e714']
How Big Food Twists the Science,2da93a53328a,['2da93a53328a']
Vinegar Caveats,6b8ff1c938f7,['6b8ff1c938f7']
Cannabis Brain Damage in Teens May Not Be Reversible,7f5709888326,"['a4113f309551', '7f5709888326']"
Paula Deen: Diabetes Drug Spokesperson,d13dbb527419,['d13dbb527419']
New DVD to Help Spring Clean Your Diet,e8e9700c8187,['e8e9700c8187']
Dr. Greger Updates His Stance on Coffee,d0eb95b3ba3a,['d0eb95b3ba3a']
Knowingly and Secretly Deciding to Put the Buying Public at Risk,0471a2526723,['0471a2526723']
Natural Treatment for Breast Engorgement,cfa3b405c762,['cfa3b405c762']
Foods for Macular Degeneration,6a2df1235971,['6a2df1235971']
Syncing Your Brain and Body Clocks,57097466dca6,['57097466dca6']
Limited-Time Merch,b7e766d7dafa,['b7e766d7dafa']
Why Is It Legal to Sell Unsafe Meat?,b476ff82ff22,['b476ff82ff22']
Is Insecticidal GMO Corn Safe?,de4f76888198,['de4f76888198']
How to Handle Raw Poultry,6f4eeaca1489,['6f4eeaca1489']
Why Some Dietary Cholesterol Studies Fail to Show Harm,c93db937b459,['c93db937b459']
How Not to Die from High Blood Pressure,5efde8ac1875,['5efde8ac1875']
Is Nutritional Yeast Healthy for Everyone?,8f21274b3165,['8f21274b3165']
The Reversal on Fish Oil,d8054d51141c,['d8054d51141c']
Alzheimer’s Disease and Dietary Copper,72fd03ef0ef7,['72fd03ef0ef7']
Turmeric with Black Pepper: What It’s Good for and How to Take It,d0d50b5780b3,['d0d50b5780b3']
How Much Added Sugar Is Okay?,ccd46f27c4a5,"['7bcd4ffa3815', 'ccd46f27c4a5']"
EPA dioxin limit has National Chicken Council worried products could be declared “unfit for consumption”,736abb207c69,['736abb207c69']
Plant-Based Diets for Hypertension,6457fad1cc87,['6457fad1cc87']
Fasting for Weight Loss Infographic,ddd5aeab8744,['ddd5aeab8744']
Mushrooms for Breast Cancer Prevention,eea2f4bd040b,['eea2f4bd040b']
How to Reverse Type 2 Diabetes,1d7daba620dd,['1d7daba620dd']
Want to Be Healthier? Change Your Taste Buds,cd09f56993f6,['cd09f56993f6']
Quadrupling Breast Cancer Survival,b9c58cb7d671,['b9c58cb7d671']
What to Eat to Reduce Our Toxic Exposure,bfb27524ce6f,['bfb27524ce6f']
What Do Eggs Do To Our Arteries?,6878c72bd406,['6878c72bd406']
Should We Increase Our Protein Intake After Age 65?,af4d4e9726e6,['af4d4e9726e6']
Prevent Breast Cancer by Any Greens Necessary,0062f53fc7e8,"['c23de424d01a', '0062f53fc7e8']"
Black Salve Is a Dangerous Scam,7b770e81c7d2,['7b770e81c7d2']
Eating To Extend Our Lifespan,0c6b8b835d3b,['0c6b8b835d3b']
Contagion: Bad Timing for CDC Report of New Swine Flu Strain,86d94f66ca02,['86d94f66ca02']
How Plant-Based Diets May Extend Our Lives,05c10eadc3d7,['05c10eadc3d7']
What Is the Optimal Vitamin D Level?,6e78794f8e7a,['6e78794f8e7a']
What Is Orthorexia?,63840b6e3a98,['63840b6e3a98']
How Risky Is the Arsenic in Rice?,41e3187b6b71,"['48e0078cdb15', '2946f8f86b01', '98ff783db1be', 'b64d9dbe0b9a', '41e3187b6b71', 'fd74667b107f']"
Are Bioidentical Hormones Safe?,3e308bb9508c,['3e308bb9508c']
Industry Influence on Our Dietary Guidelines,eb2753e0b53f,['eb2753e0b53f']
How to Live Longer in Four Easy Steps,008ca566ce81,['008ca566ce81']
Plant-Based Is Not the Same as Vegetarianism,3e7843488126,['3e7843488126']
Is Type 1 Diabetes Triggered by the Bovine Insulin in Milk?,f6e23e97657c,"['b9855d54bc32', 'f6e23e97657c']"
Do Walnuts Really Improve Artery Function?,95c72fb368b6,['95c72fb368b6']
The Effects of Nutritional Yeast for Cancer,a2841275fc1b,['a2841275fc1b']
How Much Fiber Should You Eat Every Day?,144a2a561619,['144a2a561619']
How Fruits and Vegetables Can Treat Asthma,a09fb1f0d72b,"['a09fb1f0d72b', '251cf5db8835']"
How Much Pus Is There in Milk?,b779bba388b9,['b779bba388b9']
The Best Dried Fruit for Osteoporosis,6ab240b11ded,['6ab240b11ded']
Testing Wheat- and Dairy-Free Diets for Autism,8b98fa94089e,['8b98fa94089e']
Circadian Rhythms and Our Health and Weight,af271095b8a2,['af271095b8a2']
Four Things to Help Prevent Most Disease,992a2933c3e5,['992a2933c3e5']
Should We Take Chlorella to Boost Natural Killer Cell Activity?,ce6b76a439b5,['ce6b76a439b5']
New DVD Reviews Best Bowel Movement Science,6907fe724e62,['6907fe724e62']
Mayo Clinic Tests Shark Cartilage Supplements for Cancer,58d3643979f1,['58d3643979f1']
The Best Way to Prevent the Common Cold?,de2485d15a62,['de2485d15a62']
How to Enhance Mineral Absorption,8db8f056c0e8,['8db8f056c0e8']
How to Improve Artery Function,2004b0d35c8c,['2004b0d35c8c']
Balancing the Risks and Benefits of Vitamin C Supplements,7a34c7c8ffb0,['7a34c7c8ffb0']
Foods with Natural Melatonin,163fd19f1ba0,['163fd19f1ba0']
Do Taxpayer Subsidies Play a Role in the Obesity Epidemic?,00ee1a8800a7,['00ee1a8800a7']
"The Muscle Power, Strength, and Endurance of Vegetarians",0d5ae17c7bf6,['0d5ae17c7bf6']
"Dr. Greger’s Top Takeaways on Mosquito Repellents, Oral Health, and Cognition",8ee2dd74567c,['8ee2dd74567c']
Curing Canker Sores (Aphthous Ulcers) with Diet,0e983cbfe2b5,['0e983cbfe2b5']
"New DVD, New Staff, New Search Function, New Live Presentation, & Updated App",125e15ee8686,['125e15ee8686']
Do Eden Beans Have Too Much Iodine?,af24c1a3ce5a,['af24c1a3ce5a']
Is It Safe to Consume Cannabis Edibles?,5e34a48733f8,['5e34a48733f8']
The Roles Diet and Exercise Play in the Obesity Epidemic,eadefa6ee2c4,['eadefa6ee2c4']
NutritionFacts.org Is Proud to Help Launch a New Organization: Balanced,b03d2410e1a6,['b03d2410e1a6']
Take the Daily Dozen Challenge!,e85155c730cf,['e85155c730cf']
The Health Effects of Heavy Metal Music,035d21fd08a6,['035d21fd08a6']
Circadian Rhythms and Our Blood Sugar Levels,91af029bd415,['91af029bd415']
Stop Creating So Many Free Radicals in Your Colon,f9e77a47b865,['f9e77a47b865']
Consider the Evidence When You Make Life-or-Death Decisions,1335b8aa039a,['1335b8aa039a']
Foods Linked to ALS,175f2358a341,['175f2358a341']
"Dr. Greger’s Top Takeaways on Brain Health, Erythritol, and Gluten-Free Diets",832052988e81,['832052988e81']
New Remote Job Openings at NutritionFacts.org,2401cfc5dc49,"['2401cfc5dc49', '5044d0f93ea1']"
The Reason We Need More Antioxidants,bb1650bf5950,['bb1650bf5950']
Muscle Shrinkage and Bone Loss on Keto Diets?,3fd555a110a7,['3fd555a110a7']
Spinach and Berries to Prevent Muscle Soreness,135fe3cf202e,"['3c6c76f03bb6', '135fe3cf202e']"
Avoiding Cooked Meat Carcinogens,2798f98f0f88,['2798f98f0f88']
Morning Calories vs. Evening Calories,72d494e130ea,['72d494e130ea']
How to Treat Lupus with Turmeric,c93b575ba814,['c93b575ba814']
Dialing Down the Grim Reaper Gene,5ae9b7135981,['5ae9b7135981']
"A King’s Breakfast, a Prince’s Lunch, and a Pauper’s Dinner",a02f525c071a,['a02f525c071a']
"Dr. Oz, Apple Juice, and Arsenic: Chicken May Have 10 Times More",85a5dae8b5ae,['85a5dae8b5ae']
The Truth About Heart Stents,0f5fc7324e3a,['0f5fc7324e3a']
Reduce Workout Soreness with Watermelon,831aae04fead,['831aae04fead']
Randomized Controlled Trials of Beans,41575956c161,['41575956c161']
"How to Treat High Lp(a), an Atherosclerosis Risk Factor",b45941d4e763,['b45941d4e763']
Less Acid Reflux from Low-Acid Coffee?,665109d3c208,['665109d3c208']
Optimal Bowel Movement Position,73b695f3cc6a,"['73b695f3cc6a', '1ece4280f33f']"
Is It Safe to Take Acid-Blocking Drugs?,17d8f5b45d46,['17d8f5b45d46']
How to Gain Weight on Diet Soda,c3f862f0957f,['c3f862f0957f']
Probiotics vs. Antibiotics for Autism,d0fa1b7267a4,['d0fa1b7267a4']
Is All Vegan Food Healthy?,e489d0fef542,['e489d0fef542']
Chocolate Is Finally Put to the Test,5558b340b77f,['5558b340b77f']
Can Alcohol Cause Cancer?,706009034aca,['706009034aca']
Cannabis and Pesticides,1e182709ec0d,['1e182709ec0d']
High Oxalate Greens and Kidney Stones,0ac19c6f01c6,['0ac19c6f01c6']
"Irregular Meals, Night Shifts, and Metabolic Harms",d0316b2051b9,['d0316b2051b9']
"Vitamin D from Mushrooms, Sun, or Supplements?",c6539731d3d9,['c6539731d3d9']
Milk Hormones and Female Infertility,fd4369bdafb4,['fd4369bdafb4']
Treating COPD with Diet,238a7e4036c8,['238a7e4036c8']
Heavy Metal Detox Diet,32ba1ace8ada,['32ba1ace8ada']
Plant-Based Diets for Rheumatoid Arthritis,a1ce86d73f7c,"['15af0bc32c60', 'a1ce86d73f7c']"
Safety Concerns with Henna?,8295e7c1e501,['8295e7c1e501']
Gerson Therapy for Cancer?,56a50f45df19,['56a50f45df19']
Moderation Kills,4bfda04c63b0,['4bfda04c63b0']
Raw vs. Cooked Garlic and Onions for Blood Thinning,cd62dfc59cd0,['cd62dfc59cd0']
The Two Most Active Ingredients of the Mediterranean Diet,c46f9fb2cf81,['c46f9fb2cf81']
The Stroke Risk of Vegetarians,7ebf7e329384,"['63e80fd4421d', '3e65fd663d5d', '4a5f50709190', '7ebf7e329384']"
How the Meat Industry Reacted to the New Cancer Warnings,9c8908b29c82,['9c8908b29c82']
Living Longer by Reducing Leucine Intake,74f744e4a263,['74f744e4a263']
Treating Migraines with Lavender,6b556a21a54d,['6b556a21a54d']
Do the Pros of Brown Rice Outweigh the Cons of Arsenic?,b64627679585,['b64627679585']
The Safety of Keto Diets,2ab920230e86,['2ab920230e86']
What Does Drinking Soy Milk Do to Hormone Levels?,a2e5f960bd91,['a2e5f960bd91']
Handling Poultry Tied to Liver/Pancreatic Cancers,bbd225d15835,['bbd225d15835']
"Is Soy Harmful, Harmless, or Helpful for Fibroids?",3fc7efe00393,['3fc7efe00393']
Presumed Safety of Probiotics Questioned,47b52fd7204e,['47b52fd7204e']
Go Nuts for Breast Cancer Prevention,3ee7df6221c0,['3ee7df6221c0']
The Trick to Access Research Articles for Free,80405333a1c9,['80405333a1c9']
Protecting Our Babies from Pollutants,214b36a585a8,['214b36a585a8']
How Doctors Responded to Being Named a Leading Killer,4e89345938c4,['4e89345938c4']
Low Carb Diets Found to Feed Heart Disease,1ee3860c62fb,['1ee3860c62fb']
Grind Your Chia Seeds,2cb0fa8a58cf,['2cb0fa8a58cf']
Dr. Greger Addresses GMOs in New DVD,5b6badfd364d,['5b6badfd364d']
Our Immune System Uses Plants to Activate Gut Protection,d345c131694c,['d345c131694c']
How to Treat Gout With Diet,5edf69d95d2d,['5edf69d95d2d']
NutritionFacts.org Video Hits a Million Views,dbcc9fd5e768,['dbcc9fd5e768']
Recipe Testing and the Straight Dope,02a80a8f8a07,['02a80a8f8a07']
Are You Up for the Challenge?,bd6ad8fb4d08,['bd6ad8fb4d08']
Dietary Supplements for Eczema (Atopic Dermatitis),3a217fb94ae4,['3a217fb94ae4']
How Healthy Is the Mediterranean Diet?,97230e52314a,['97230e52314a']
Nuts Don’t Cause Expected Weight Gain,b1c84edb5bea,['b1c84edb5bea']
The Pros of Early Time-Restricted Eating,d301a2260d32,"['d301a2260d32', '87390b72739e']"
Superbugs on Retail Chicken,e7a1cf279c1e,['e7a1cf279c1e']
Are We Polar Bears in a Jungle?,f9d881ae6f27,['f9d881ae6f27']
Making Your Own Mouthwash,5ccbc7ae03e3,['5ccbc7ae03e3']
Ginger or Cannabis for Morning Sickness,773870e02837,['773870e02837']
Marketing Takes Off and Obesity Soars,cfdaf84f3d04,['cfdaf84f3d04']
Schoolchildren Should Drink More Water,396c2bd19e40,['396c2bd19e40']
Topical Lemon Balm Lotion for Alzheimer’s,81a0ee1bbfab,['81a0ee1bbfab']
9 out of 10 Who Die from It Never Knew They Even Had This Preventable Disease,0ba42aa0c7ff,['0ba42aa0c7ff']
The Effects of Cell Phones and Bluetooth on Hearing,1c8f265efcd3,['1c8f265efcd3']
What Are the Best Foods for Preventing Colon Cancer?,68ca5698435f,"['84d67dc27a20', '68ca5698435f']"
Is the Cyanide in Flaxseeds Destroyed by Cooking?,2d3d293551db,"['2d3d293551db', '79a1873fcd8b']"
"Sci-Hub Offers the Quickest, Easiest, and Greatest Access to Science",cbe1c33ca238,['cbe1c33ca238']
Free Recipe for a Great Fall Meal and New Volume of Videos,e74170b34099,['e74170b34099']
White Rice vs. Brown Rice,39a233bae68b,"['33c28671bfb3', '39a233bae68b']"
The How Not to Die Cookbook Is Available for Preorder!,6065b318142a,"['fa486b8630ce', '6065b318142a']"
Beans and Gas: Clearing the Air,d11ce414f325,['d11ce414f325']
How Good Are Avocados for You?,4a79e735dfc9,['4a79e735dfc9']
Estrogenic Chemicals in Meat,f0610d34033f,['f0610d34033f']
2400 Units of Vitamin D a Day for Fibromyalgia,5c6b1cccbe56,['5c6b1cccbe56']
Lead Contamination in Calcium Supplements,b1f67492cdf5,['b1f67492cdf5']
"The Health Benefits of Laughter, Tears, and Kisses",c6e313616224,['c6e313616224']
Blueberry Blocking Effects of Yogurt,8ebf5dbc07ac,['8ebf5dbc07ac']
Virus in Chicken Could Be Linked to Obesity,15ef2b4a79e9,['15ef2b4a79e9']
Sweet Potato Proteins vs. Cancer,3a6ad791e1f3,['3a6ad791e1f3']
Can Peppermint Improve Athletic Performance?,e4aff2502794,['e4aff2502794']
Cannabis Brain Damage Reversible in Adults,a4113f309551,"['a4113f309551', '7f5709888326']"
A Plant-Based Workplace Wellness Program Put to the Test,ebdf246a7f34,['ebdf246a7f34']
How to Protect Our Telomeres with Diet,e565208a40b3,['e565208a40b3']
How Learning to Cook Can Save Your Life,3f18a53b0a63,['3f18a53b0a63']
Children’s Supplements Found Contaminated with Pollutants,9950c5f70d61,['9950c5f70d61']
Concerns About Bone Broth,83791a172f90,['83791a172f90']
Preorder How Not to Age Today,9458f3aade64,['9458f3aade64']
Are Canned Beans as Healthy as Home-Cooked?,795982532dcf,['795982532dcf']
Can Oxidized Cholesterol 27HC Explain Three Breast Cancer Mysteries?,a0b97c764662,['a0b97c764662']
Does Laptop Wi-Fi Affect Fertility?,98426b3bf27a,['98426b3bf27a']
Treating Crohn’s Disease with Diet,8a9b126fa6cf,['8a9b126fa6cf']
Can Lutein Supplements Benefit Our Brain Function?,78343f8dd966,['78343f8dd966']
Millions of Years of Healthy Life Lost Due to Cannabis,7886f7fb597b,['7886f7fb597b']
The Safety of Fasting to Lose Weight,e1a28680470b,['e1a28680470b']
Plant vs. Animal Iron,48f02d0aca58,['48f02d0aca58']
Do Poultry Viruses Cause Human Cancers?,6de5bd9c4463,['6de5bd9c4463']
Dietary Estrogens and Male Fertility,3c26a63da568,['3c26a63da568']
Benefits of Turmeric for Arsenic Exposure,276eb2a84e39,['276eb2a84e39']
"Dr. Greger on Plant-Based Athletes, the Best Way to Cook Veggies, and More",1ad5e2687ffb,['1ad5e2687ffb']
Saffron Put to the Test for Alzheimer’s,399520bce2de,['399520bce2de']
Coffee Benefits Blocked by Adding Milk?,e647133a8cf6,['e647133a8cf6']
Estrogen in Animal Products,3fe5a85ba8c8,['3fe5a85ba8c8']
Vitamin D: Shedding Some Light on the New Recommendations,71cccd3f7cbc,"['0d77707e185f', '71cccd3f7cbc']"
Are There Any Benefits of Flaxseed for Weight Loss?,29e4faf62437,['29e4faf62437']
The Link Between Chicken Consumption and Urinary Tract Infections,1d6eccd57578,['1d6eccd57578']
Saffron vs. Prozac for Depression,4ae0b9a9f8d3,['4ae0b9a9f8d3']
What Is the Best Food for the End of Pregnancy?,d1033bd76579,['d1033bd76579']
How Plants Can Be Both Safer and More Effective,56513f796338,['56513f796338']
Treating Kidney Stones with Diet,5f841868ce88,"['1fff90e93fa7', '5f841868ce88']"
Is Buying Organic Worth It? A Review of the Science in New DVD,6740c9c653ae,['6740c9c653ae']
Is Sodium Lauryl Sulfate (SLS) in Toothpaste Safe?,59ac9b4680d6,['59ac9b4680d6']
Do You Meet the Simple Seven?,ac50353a5213,['ac50353a5213']
Jet Lag Treatment Cheat Sheet,c0e407927459,['c0e407927459']
Preventing Alzheimer’s with Lifestyle Changes,03e96523ce2e,"['03e96523ce2e', '65b88f36b3fb', '4124109d3da0']"
How Dark Chocolate Affects Our Arteries,09e703ba51d1,['09e703ba51d1']
What Not to Do When You Handle Receipts,9696c73f1a1d,['9696c73f1a1d']
Test to See If Your Diet Is Alkaline- or Acid-Forming,b4afa23163f9,['b4afa23163f9']
Peeks Behind the Egg Industry Curtain,a4ed38c54f8a,['a4ed38c54f8a']
The Most Antioxidant-Packed Whole Food,048dd2802ada,['048dd2802ada']
Fighting Inflammation with Food Synergy,93d98586363a,['93d98586363a']
The Best Diet to Prevent Kidney Stones,1fff90e93fa7,"['1fff90e93fa7', '5f841868ce88']"
Plant-Based Diets as the Nutritional Equivalent of Quitting Smoking,2a1a589246b9,['2a1a589246b9']
What to Eat and Avoid for Women with BRCA Gene Mutations,5b02968e962c,['5b02968e962c']
The Benefits of Ginger for Osteoarthritis,ebcc84c35725,['ebcc84c35725']
Which Nut Suppresses Cancer Cell Growth the Most?,cefaa83d3019,['cefaa83d3019']
Why Drinking Diet Soda Makes You Crave Sugar,d5d21fbe1ebe,['d5d21fbe1ebe']
The 411 on Statins,0a751f6783f9,['0a751f6783f9']
Chronic Headaches and Pork Parasites,aa1572420352,['aa1572420352']
How to Treat Ulcerative Colitis with Diet,8acc33732df6,"['8acc33732df6', '0f08771860c2']"
Tea Tree Oil for Cold Sores and Warts?,f659dc4c0518,['f659dc4c0518']
How Tumors Use Meat to Grow,b9aa62f0f590,['b9aa62f0f590']
Sip Smoothies Slowly,716585843f28,['716585843f28']
Best Food for the Common Cold,6679a81786d7,['6679a81786d7']
Even Modest Lifestyle Changes in Middle Age May Significantly Extend Your Life,6c191e45b635,['6c191e45b635']
Fighting Inflammation with Flaxseeds,98062ab1573b,['98062ab1573b']
Foie Gras Ban in California: Human Health Implications,8ed0382e4b3d,['8ed0382e4b3d']
How to Prevent Childhood Obesity and Diabetes,80669c51f97d,['80669c51f97d']
Orange Aromatherapy for Anxiety,e521d1f32048,['e521d1f32048']
Does the Science Say That Butter Is Really Back?,2322f21f330e,"['2322f21f330e', 'ed8bfcb94e53']"
What Are the Benefits of Organic?,aaf33f6061ec,['aaf33f6061ec']
E. coli O145 Ban Opposed by Meat Industry,309594b82934,['309594b82934']
Aloe Fails to Help Radiation Therapy Skin Burns,19a7e8cc85af,['19a7e8cc85af']
Welcome to NutritionFacts.org!,8f0d5425e5f0,"['8f0d5425e5f0', '6cce7fe2acc0', 'c89e7548dbe2']"
Cannabis on Fertility and Pregnancy,9917a4c90ad7,['9917a4c90ad7']
How Citrus Might Help Keep Your Hands Warm,67fcdfd804dc,['67fcdfd804dc']
How to Prevent the Infection that May Trigger Type 1 Diabetes,4ff827908f85,['4ff827908f85']
Fifty Times Lower Colon Cancer Risk,ab25065c392a,['ab25065c392a']
How to Lose Weight Eating More Food,78d3026a5cf8,['78d3026a5cf8']
Hibiscus Tea: The Best Beverage?,280ede2375b4,['280ede2375b4']
What is ‘Meat Glue’?,5816b1c2bf58,['5816b1c2bf58']
Are Dental X-Rays Safe?,4ed59ed8f93d,['4ed59ed8f93d']
Celebrating Traditional Chinese Cuisine with Hannah Che,d8bffc93f058,['d8bffc93f058']
How Does Meat Cause Inflammation?,6233d85a7d3c,['6233d85a7d3c']
98% of American Diets Potassium-Deficient,b7efa6df1e36,['b7efa6df1e36']
Eating to Block Lead Absorption,383312edfdbc,['383312edfdbc']
Foods to Avoid to Help Prevent Diabetes,be185624bb2d,"['be185624bb2d', '8bdc7dd05526']"
What Happened to the Rice Diet?,13b069ea7f7c,['13b069ea7f7c']
Healthy Holiday Recipe Collection,c20ff87a19a5,['c20ff87a19a5']
Slowing Cognitive Decline with Berries,f7068d7f7f5d,['f7068d7f7f5d']
Change Your Diet; Change Your Microbiome,cfb8726514b0,['cfb8726514b0']
The Best Food for Acne,183e07e57353,['183e07e57353']
Putting Alternate-Day Intermittent Fasting to the Test,861d5508fdca,['861d5508fdca']
Does Marijuana Affect Weight Gain or Bone Density?,9f6cf0a62b11,['9f6cf0a62b11']
Boosting Moods with Foods,1bc46ec069c6,['1bc46ec069c6']
What Is the Gladiator Diet and How Do Vegetarian Athletes Stack Up?,72f93aa6f8fa,['72f93aa6f8fa']
How to Avoid Lectin Poisoning,69e735e62dee,['69e735e62dee']
Lose Weight by Eating More in the Morning,5d6fad3cbe10,['5d6fad3cbe10']
Follow the 5-to-1 Rule for Packaged Foods,153ea3db3865,['153ea3db3865']
Flax Seeds for Prostate Cancer,bc543889207d,"['bc543889207d', '0dafa09604ca', 'db25d6775819', '1c0b4de67296', '6f13b824106e']"
Which Brands and Sources of Rice Have the Least Arsenic?,2946f8f86b01,"['48e0078cdb15', '2946f8f86b01', '98ff783db1be', 'b64d9dbe0b9a', '41e3187b6b71', 'fd74667b107f']"
How Not to Die from Heart Disease,6022eb90d98f,['6022eb90d98f']
Fish Consumption and Suicide,056ab9015c58,['056ab9015c58']
When Charities Collaborate with the Food Industry,b155813059fc,['b155813059fc']
Eating Seaweed Salad May Boost Immune Function,0943200c7110,['0943200c7110']
What Do All the Blue Zones Have in Common?,35d398998ce6,['35d398998ce6']
What Is the Healthiest Meat?,3c500b976ecb,['3c500b976ecb']
How to Get Enough Antioxidants Each Day,7f2097bf7fbe,['7f2097bf7fbe']
How to Prevent a Heart Attack,002cfdd77d92,"['002cfdd77d92', '5f26d25a5996']"
There Was No Book… Until Now!,4b3fd3ab4c50,['4b3fd3ab4c50']
The Role of Caffeine in Artery Function,57c0268ff756,['57c0268ff756']
Can Reflux in Babies Be Treated with Diet?,6da9a7154b4d,['6da9a7154b4d']
Chronic Fatigue Syndrome and Fish Food Poisoning,de5d04080945,['de5d04080945']
Dr. Greger’s New Google Talk,07eb616bca90,['07eb616bca90']
What Do the Longest Living People Eat?,4f83ef5657c4,['4f83ef5657c4']
Chia Seeds vs. Flaxseeds: What Are the Differences and Benefits?,1fc47824ee69,['1fc47824ee69']
Tarragon Toxicity?,fd7705280399,['fd7705280399']
How to Boost DNA Repair with Produce,b9b9597fe9aa,['b9b9597fe9aa']
Wisconsin Milk Marketing Board Accused of Making Illegally Deceptive Claims,3cf68955d6cf,['3cf68955d6cf']
What’s the Best Ferritin Level to Lower Cancer Risk?,e29e00cd00a7,['e29e00cd00a7']
Does Nutritional Yeast Trigger Crohn’s Disease?,c7d6e8cb5fdd,['c7d6e8cb5fdd']
